,date,confirm,death,suspect,heal,totalconfirm,totoalheal
0,09.14,80,0,1,50,123722,115599
1,09.15,86,0,0,44,123808,115643
2,09.16,96,0,2,49,123904,115692
3,09.17,57,0,0,54,123961,115746
4,09.18,77,0,0,54,124038,115800
5,09.19,64,1,2,37,124102,115837
6,09.20,83,0,2,36,124185,115873
7,09.21,46,0,2,41,124232,115914
8,09.22,51,1,2,42,124283,115956
9,09.23,65,0,1,39,124348,115995
10,09.24,55,0,2,28,124403,116023
11,09.25,44,0,0,39,124447,116062
12,09.26,51,0,0,37,124498,116099
13,09.27,44,1,0,66,124542,116165
14,09.28,49,0,0,62,124591,116227
15,09.29,38,0,1,67,124629,116294
16,09.30,44,0,2,50,124673,116344
17,10.01,56,1,0,45,124729,116389
18,10.02,43,0,0,53,124772,116442
19,10.03,33,0,0,49,124805,116491
20,10.04,39,1,1,33,124843,116524
21,10.05,41,0,0,49,124884,116573
22,10.06,36,0,1,57,124920,116630
23,10.07,34,0,0,53,124954,116683
24,10.08,17,1,1,40,124987,116723
25,10.09,36,1,0,60,125023,116783
26,10.10,32,0,0,44,125055,116827
27,10.11,30,0,0,62,125085,116889
28,10.12,30,0,1,49,125115,116938
29,10.13,28,0,0,42,125143,116980
30,10.14,19,0,1,95,125162,117075
31,10.15,27,0,0,58,125189,117133
32,10.16,37,0,0,31,125226,117164
33,10.17,28,0,0,30,125254,117194
34,10.18,36,0,1,29,125284,117223
35,10.19,38,0,0,43,125322,117266
36,10.20,48,0,0,39,125351,117305
37,10.21,51,0,0,20,125402,117325
38,10.22,63,0,1,25,125462,117350
39,10.23,73,0,0,32,125518,117382
40,10.24,47,0,1,33,125565,117415
41,10.25,75,1,1,17,125620,117432
42,10.26,70,1,0,25,125686,117457
43,10.27,58,0,0,27,125738,117484
44,10.28,72,0,0,32,125810,117512
45,10.29,88,0,0,16,125898,117528
46,10.30,81,0,3,22,125979,117550
47,10.31,99,0,1,37,126078,117587
48,11.01,77,0,2,28,126155,117615
49,11.02,115,0,1,23,126270,117638
50,11.03,114,0,3,24,126384,117662
51,11.04,87,0,1,30,126471,117692
52,11.05,63,0,0,43,126534,117735
53,11.06,82,0,2,47,126616,117782
54,11.07,94,0,0,56,126710,117838
55,11.08,65,0,0,42,126775,117880
56,11.09,61,1,1,54,126836,117934
57,11.10,72,0,0,38,126908,117972
58,11.11,110,0,0,66,127018,118038
59,11.12,75,0,1,81,127104,118119
