,date,亚洲,北美洲,南美洲,非洲,欧洲,其他
2,03/01,4938,94,3,2,1564,712
3,03/08,15145,528,55,81,10373,696
4,03/15,25684,3315,325,315,48928,712
5,03/22,41064,29104,3213,1249,158542,712
6,03/29,77597,133841,10256,4397,368901,712
7,04/05,135849,333668,23510,8752,634191,712
8,04/12,207968,566955,48376,13791,871385,712
9,04/19,292679,789241,78458,21275,1081236,712
10,04/26,383532,1016790,131406,31075,1263967,712
11,05/03,461152,1258892,199460,42403,1424914,712
12,05/10,579376,1475071,298517,61085,1621301,712
13,05/17,708495,1663337,424955,81681,1775221,712
14,05/24,869574,1856423,605010,107388,1897832,712
15,05/31,1049345,2045278,843975,140906,2019338,712
16,06/07,1272184,2258786,1112460,182577,2130708,712
17,06/14,1518622,2460163,1385472,231515,2242081,712
18,06/21,1795341,2702474,1705395,295547,2346947,712
19,06/28,2103517,3029952,2097926,370128,2449309,712
20,07/05,2466827,3438439,2463633,462093,2514705,712
21,07/12,2839471,3935162,2841299,576342,2607243,712
22,07/19,3264704,4492070,3215434,700329,2705315,712
23,07/26,3761503,5064913,3683684,827296,2813954,712
24,08/02,4307412,5599807,4183863,943131,2935388,712
25,08/09,4888530,6062387,4691616,1033584,3071872,712
26,08/16,5507545,6518935,5209974,1106352,3220236,712
27,08/23,6145952,6900010,5699461,1176406,3389121,712
28,08/30,6819645,7266916,6193073,1234763,3590092,712
29,09/06,7570611,7628687,6679244,1289425,3823431,712
30,09/13,8413244,7940436,7060108,1343926,4104841,712
31,09/20,9284775,8295715,7476093,1397863,4450706,712
32,09/27,10117939,8686136,7871545,1450422,4857122,712
33,10/04,10917541,9069477,8243902,1505757,5325907,712
34,10/11,11670269,9514904,8622379,1567777,6012048,712
35,10/18,12366837,9986248,8953799,1636198,6962722,712
36,10/25,13015859,10557416,9318504,1708366,8334397,712
37,11/01,13625505,11216342,9666018,1784449,10102980,712
38,11/08,14279192,12082136,9959138,1868182,12003573,712
39,11/15,14954212,13224840,10316442,1961684,13810574,712
40,11/22,15637628,14533194,10667224,2054557,15616456,712
41,11/29,16471861,15840115,11048611,2148173,17087189,712
42,12/06,17385686,17358339,11484527,2246856,18448874,712
43,12/13,18974815,19083404,11913706,2360029,19822181,712
44,12/20,19680465,20772668,12416632,2488032,21322620,712
45,12/27,20272419,22268132,12842808,2642115,22709422,712
46,12/31,20591242,23153961,13097978,2725351,23570919,712
